run_id,timestamp,previous_batches,previous_traversals,previous_elapsed_sec,run_batches,run_traversals,run_elapsed_sec,total_batches,total_traversals,total_elapsed_sec,batches,traversals,elapsed_sec,workers,merge_interval,regret_update,stack,small_blind,infosets,utility_sum_last_batch,checkpoint_reason
20260502-222802,1777780703.768311,0,0,0.0,2540,15240000,5421.058830022812,2540,15240000,5421.058830022812,2540,15240000,5421.058830022812,10,300,cfr,1000,10,6336,1323.4148610322986,interval
20260502-222802,1777781004.945559,0,0,0.0,2682,16092000,5722.234768867493,2682,16092000,5722.234768867493,2682,16092000,5722.234768867493,10,300,cfr,1000,10,6336,-1453.1397101600949,interval
20260502-222802,1777781305.402066,0,0,0.0,2821,16926000,6022.688740730286,2821,16926000,6022.688740730286,2821,16926000,6022.688740730286,10,300,cfr,1000,10,6336,759.5147982442951,interval
20260502-222802,1777781607.011022,0,0,0.0,2959,17754000,6324.3018617630005,2959,17754000,6324.3018617630005,2959,17754000,6324.3018617630005,10,300,cfr,1000,10,6336,-1375.0614304028563,interval
20260502-222802,1777781908.70435,0,0,0.0,3097,18582000,6625.993369102478,3097,18582000,6625.993369102478,3097,18582000,6625.993369102478,10,300,cfr,1000,10,6336,-1091.8514711639364,interval
20260502-222802,1777782210.6689348,0,0,0.0,3236,19416000,6927.95805478096,3236,19416000,6927.95805478096,3236,19416000,6927.95805478096,10,300,cfr,1000,10,6336,-127.55292254261411,interval
20260502-222802,1777782512.300205,0,0,0.0,3379,20274000,7229.588392972946,3379,20274000,7229.588392972946,3379,20274000,7229.588392972946,10,300,cfr,1000,10,6336,-139.29328520518408,interval
20260502-222802,1777782813.403281,0,0,0.0,3520,21120000,7530.692748069763,3520,21120000,7530.692748069763,3520,21120000,7530.692748069763,10,300,cfr,1000,10,6336,1028.0039790159512,interval
20260502-222802,1777783115.166213,0,0,0.0,3667,22002000,7832.451508998871,3667,22002000,7832.451508998871,3667,22002000,7832.451508998871,10,300,cfr,1000,10,6336,-110.31498679428228,interval
20260502-222802,1777783415.46478,0,0,0.0,3810,22860000,8132.754212856293,3810,22860000,8132.754212856293,3810,22860000,8132.754212856293,10,300,cfr,1000,10,6336,558.3266942484862,interval
20260502-222802,1777783716.505737,0,0,0.0,3951,23706000,8433.791632890701,3951,23706000,8433.791632890701,3951,23706000,8433.791632890701,10,300,cfr,1000,10,6336,83.49628533111348,interval
20260502-222802,1777784016.85427,0,0,0.0,4090,24540000,8734.142894029617,4090,24540000,8734.142894029617,4090,24540000,8734.142894029617,10,300,cfr,1000,10,6336,1481.0018670263303,interval
20260502-222802,1777784316.929297,0,0,0.0,4226,25356000,9034.215703010559,4226,25356000,9034.215703010559,4226,25356000,9034.215703010559,10,300,cfr,1000,10,6336,-736.0310103234442,interval
20260502-222802,1777784618.817357,0,0,0.0,4368,26208000,9336.104300022125,4368,26208000,9336.104300022125,4368,26208000,9336.104300022125,10,300,cfr,1000,10,6336,1599.5834614725045,interval
20260502-222802,1777784919.020143,0,0,0.0,4510,27060000,9636.30901503563,4510,27060000,9636.30901503563,4510,27060000,9636.30901503563,10,300,cfr,1000,10,6336,-507.37488065577395,interval
20260502-222802,1777785219.635359,0,0,0.0,4650,27900000,9936.927957057953,4650,27900000,9936.927957057953,4650,27900000,9936.927957057953,10,300,cfr,1000,10,6336,-1481.0794708859241,interval
20260502-222802,1777785519.996973,0,0,0.0,4787,28722000,10237.283488988876,4787,28722000,10237.283488988876,4787,28722000,10237.283488988876,10,300,cfr,1000,10,6336,312.9606841926974,interval
20260502-222802,1777785821.070417,0,0,0.0,4921,29526000,10538.362410068512,4921,29526000,10538.362410068512,4921,29526000,10538.362410068512,10,300,cfr,1000,10,6336,-730.421476041957,interval
20260502-222802,1777786122.543929,0,0,0.0,5056,30336000,10839.832176923752,5056,30336000,10839.832176923752,5056,30336000,10839.832176923752,10,300,cfr,1000,10,6336,351.059205695321,interval
20260502-222802,1777786424.411649,0,0,0.0,5189,31134000,11141.703534841537,5189,31134000,11141.703534841537,5189,31134000,11141.703534841537,10,300,cfr,1000,10,6336,-883.247093607238,interval
20260502-222802,1777786725.9950452,0,0,0.0,5321,31926000,11443.288719892502,5321,31926000,11443.288719892502,5321,31926000,11443.288719892502,10,300,cfr,1000,10,6336,813.5718426562814,interval
20260502-222802,1777787026.955432,0,0,0.0,5457,32742000,11744.244860887527,5457,32742000,11744.244860887527,5457,32742000,11744.244860887527,10,300,cfr,1000,10,6336,-576.035583719263,interval
20260502-222802,1777787327.498867,0,0,0.0,5596,33576000,12044.791157960892,5596,33576000,12044.791157960892,5596,33576000,12044.791157960892,10,300,cfr,1000,10,6336,-45.45758582471444,interval
20260502-222802,1777787629.4528692,0,0,0.0,5740,34440000,12346.744325876236,5740,34440000,12346.744325876236,5740,34440000,12346.744325876236,10,300,cfr,1000,10,6336,-1536.8693794361468,interval
20260502-222802,1777787929.9954848,0,0,0.0,5888,35328000,12647.283782958984,5888,35328000,12647.283782958984,5888,35328000,12647.283782958984,10,300,cfr,1000,10,6336,731.6603732481094,interval
20260502-222802,1777788231.7439601,0,0,0.0,6038,36228000,12949.035865783691,6038,36228000,12949.035865783691,6038,36228000,12949.035865783691,10,300,cfr,1000,10,6336,253.32717096329657,interval
20260502-222802,1777788532.723766,0,0,0.0,6185,37110000,13250.014148950577,6185,37110000,13250.014148950577,6185,37110000,13250.014148950577,10,300,cfr,1000,10,6336,-571.209549366695,interval
20260502-222802,1777788833.1379101,0,0,0.0,6328,37968000,13550.426138877869,6328,37968000,13550.426138877869,6328,37968000,13550.426138877869,10,300,cfr,1000,10,6336,1038.1672567920045,interval
20260502-222802,1777789134.7173162,0,0,0.0,6472,38832000,13852.004654169083,6472,38832000,13852.004654169083,6472,38832000,13852.004654169083,10,300,cfr,1000,10,6336,72.84871990127232,interval
20260502-222802,1777789435.340638,0,0,0.0,6617,39702000,14152.633708953857,6617,39702000,14152.633708953857,6617,39702000,14152.633708953857,10,300,cfr,1000,10,6336,-1130.1570537833175,interval
20260502-222802,1777789735.8581371,0,0,0.0,6762,40572000,14453.147984981537,6762,40572000,14453.147984981537,6762,40572000,14453.147984981537,10,300,cfr,1000,10,6336,-2286.1714915341418,interval
20260502-222802,1777790036.295962,0,0,0.0,6907,41442000,14753.583225727081,6907,41442000,14753.583225727081,6907,41442000,14753.583225727081,10,300,cfr,1000,10,6336,1369.5333197562434,interval
20260502-222802,1777790337.4705439,0,0,0.0,7052,42312000,15054.761976957321,7052,42312000,15054.761976957321,7052,42312000,15054.761976957321,10,300,cfr,1000,10,6336,765.9322281277161,interval
20260502-222802,1777790638.3086011,0,0,0.0,7196,43176000,15355.601325035095,7196,43176000,15355.601325035095,7196,43176000,15355.601325035095,10,300,cfr,1000,10,6336,-1355.0013640227892,interval
