split,variant,opponent,opponent_kind,games,hands_total,agent_chips,opponent_chips,agent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
validation,Full,validation_caller_1,randomized,12,1200,22220,1770,12,0,851.667,1000,360,255.696,137.576
validation,Full,validation_loose_0,randomized,12,1200,15190,8790,8,4,265.833,1000,-1000,906.747,139.304
validation,Full,validation_loose_1,randomized,12,1200,13740,10230,6,6,145.0,1000,-1000,829.985,141.208
validation,Full,validation_fold_0,randomized,12,1200,14470,9510,9,3,205.833,1000,-1000,685.097,138.18
validation,Full,validation_fold_1,randomized,12,1200,19630,4360,12,0,635.833,1000,110,279.477,138.292
validation,Full,validation_static_Value,static,12,1200,12960,11030,7,5,80.0,1000,-1000,816.262,140.27
validation,Full,validation_static_Tight,static,12,1200,16300,7680,9,2,358.333,1000,-1000,569.061,139.61
validation,Full,validation_static_Pressure,static,12,1200,12460,11540,6,6,38.333,1000,-1000,756.536,141.287
validation,Full,validation_static_Showdown,static,12,1200,18910,5070,11,1,575.833,1000,-1000,586.948,140.892
validation,Full,validation_checkpoint_120228k,checkpoint,12,1200,13210,10790,6,6,100.833,1000,-1000,668.786,139.907
validation,Full,validation_checkpoint_140004k,checkpoint,12,1200,11240,12760,5,7,-63.333,1000,-1000,554.427,139.787
validation,Full,validation_checkpoint_143004k,checkpoint,12,1200,14940,9040,8,4,245.0,1000,-1000,808.636,140.834
validation,Full,validation_checkpoint_195510k,checkpoint,12,1200,11960,12040,6,6,-3.333,1000,-1000,699.42,141.688
test,CFR,test_value_0,randomized,12,1200,13670,10330,7,5,139.167,1000,-1000,872.854,0.347
test,CFR,test_value_1,randomized,12,1200,10130,13860,4,8,-155.833,1000,-1000,871.708,1.268
test,CFR,test_tight_0,randomized,12,1200,15380,8600,10,2,281.667,1000,-1000,513.141,1.918
test,CFR,test_tight_1,randomized,12,1200,13840,10150,7,5,153.333,990,-1000,617.459,0.559
test,CFR,test_pressure_0,randomized,12,1200,11080,12910,6,6,-76.667,1000,-1000,903.358,1.718
test,CFR,test_pressure_1,randomized,12,1200,13490,10500,8,4,124.167,1000,-1000,784.447,0.762
test,CFR,test_caller_0,randomized,12,1200,15320,8660,7,5,276.667,1000,-1000,727.385,1.068
test,CFR,test_caller_1,randomized,12,1200,10230,13760,6,6,-147.5,1000,-1000,788.449,8.563
test,CFR,test_loose_0,randomized,12,1200,13160,10820,7,5,96.667,1000,-1000,952.928,2.161
test,CFR,test_loose_1,randomized,12,1200,20420,3580,10,2,701.667,1000,-1000,605.39,2.459
test,CFR,test_fold_0,randomized,12,1200,19680,4310,10,2,640.0,1000,-280,437.531,97.014
test,CFR,test_fold_1,randomized,12,1200,16900,7070,9,3,408.333,1000,-1000,671.551,27.339
test,CFR,test_static_Value,static,12,1200,6800,17190,2,10,-433.333,1000,-1000,704.442,94.666
test,CFR,test_static_Tight,static,12,1200,15090,8910,9,3,257.5,1000,-1000,519.633,78.75
test,CFR,test_static_Pressure,static,12,1200,11610,12390,8,4,-32.5,1000,-1000,742.228,84.393
test,CFR,test_static_Showdown,static,12,1200,14510,9490,7,5,209.167,1000,-1000,820.106,71.812
